"countBurglaries","streetLights_allOut","streetLights_allOut.nn","dist_to_hotspot"
0,33,65.4885800522325,2121.32034355964
1,99,39.676050235041,2500
0,17,107.517068202934,2828.42712474619
0,0,291.999673020043,3201.56211871642
0,0,573.286889035689,3605.55127546399
0,0,905.817742956391,4924.42890089805
0,0,551.392727829028,5385.1648071345
0,3,166.563325444576,5385.1648071345
0,0,322.509504781338,5220.15325445527
6,96,72.0527753647411,5099.01951359279
4,251,39.4518802771253,5024.93781056045
0,73,38.8965875780607,5000
1,8,187.7800703354,5024.93781056045
7,24,165.879778383501,1802.77563773199
4,274,53.0101450355541,2121.32034355964
1,141,26.0838634138147,2500
1,33,48.6544417644371,2915.47594742265
0,1,303.707139962662,3354.10196624968
0,0,403.868704261109,4272.00187265877
0,0,406.726811467097,4716.9905660283
0,0,414.938484276051,5147.8150704935
0,39,64.3344905487394,4924.42890089805
0,133,37.0360150455747,4743.41649025257
2,158,33.8399093389597,4609.77222864644
5,175,28.923698684223,4527.69256906871
3,162,22.8302744201132,4500
0,5,200.609900949689,4527.69256906871
5,270,20.6745315608636,707.106781186548
2,333,22.3802212969005,500
2,9,168.726436280299,1414.2135623731
0,13,131.876034305663,1802.77563773199
0,38,170.496044477109,2236.06797749979
0,12,140.28626420157,2692.58240356725
0,24,115.775716905746,4031.12887414927
0,11,101.658692667776,4472.13595499958
0,5,120.822993061834,4716.9905660283
1,80,100.43674182013,4472.13595499958
0,224,56.2191992400388,4272.00187265877
1,120,60.2748027595425,4123.10562561766
1,88,109.383172361038,4031.12887414927
0,10,227.630017412895,4000
0,0,654.442573777885,4031.12887414927
6,492,13.9971147313153,0
2,304,13.6362726147846,0
3,286,82.2843067105426,500
1,245,25.8672923324084,707.106781186548
0,0,306.951781741225,1118.03398874989
0,0,627.691869562861,1581.13883008419
0,0,633.579109890293,2061.55281280883
0,0,540.625355402662,3354.10196624968
0,1,290.416150872256,3807.88655293195
0,0,508.142835277259,4272.00187265877
0,0,589.411139356147,4301.16263352131
1,67,110.486910491928,4031.12887414927
2,284,34.1820337423486,3807.88655293195
0,35,140.63954913939,3640.05494464026
0,49,189.100812423599,3535.53390593274
0,0,311.814040720868,3500
0,0,808.502851616998,3535.53390593274
5,310,35.8894455815047,500
4,89,68.4496366773296,500
3,147,54.0529403254417,0
5,159,51.434640289057,500
0,0,304.249437727774,1000
0,0,797.784867595285,1414.2135623731
0,0,1128.61688619142,1802.77563773199
0,0,1024.09076011754,2692.58240356725
0,0,877.891768047581,3162.27766016838
0,0,537.479865568331,3640.05494464026
0,0,508.584298073839,4123.10562561766
0,0,608.347672956923,3905.12483795333
0,1,265.675806706993,3605.55127546399
0,2,271.630208373306,3354.10196624968
0,14,233.438722843147,3162.27766016838
0,19,216.746116938681,3041.38126514911
0,0,268.741473299525,3000
0,0,762.972813269918,3041.38126514911
1,191,51.8292518994733,1802.77563773199
2,35,145.761652074286,1414.2135623731
0,38,137.994890903974,1000
4,313,36.1895197829524,500
5,193,34.5330180763936,0
8,269,29.1421102979684,500
7,186,53.9481334362858,500
4,22,190.727646591922,707.106781186548
0,0,674.988130291864,1118.03398874989
0,0,1250.15163268304,2549.50975679639
0,0,755.190013280493,3041.38126514911
0,2,279.628133259809,3535.53390593274
0,3,171.564001533684,3905.12483795333
0,0,473.790975180512,3535.53390593274
0,14,51.5821696216856,3201.56211871642
0,0,352.023163809791,2915.47594742265
0,8,150.052075420019,2692.58240356725
0,17,152.356324392797,2549.50975679639
0,0,351.619402985124,2500
0,0,824.968212130728,2549.50975679639
2,52,76.7559893407562,2061.55281280883
3,21,154.683165255692,1581.13883008419
4,83,64.5962392918908,1118.03398874989
7,303,70.0679790220718,707.106781186548
2,119,66.0956386589031,500
6,384,57.2769594681815,500
4,284,34.9687058724023,0
0,127,104.311952421684,500
1,1,477.11133056061,1000
0,0,920.903970756683,2000
0,0,1237.81011536303,2500
0,0,843.50871555001,2828.42712474619
0,0,465.474914280778,3201.56211871642
0,0,478.131714378693,3605.55127546399
0,0,541.734907506933,3201.56211871642
0,10,77.861756618813,2828.42712474619
0,0,467.598327922576,2500
0,0,483.626468290416,2236.06797749979
0,19,157.492404687688,2061.55281280883
0,2,220.456302240039,2000
0,0,574.362471195303,2061.55281280883
1,245,59.4847872897952,4000
1,173,39.5530757699203,3500
2,120,55.8316885615715,3000
3,172,52.0050719293668,0
1,153,84.7172110882648,0
1,69,128.756181103176,500
0,0,301.205472770286,1000
0,0,550.262115466841,1802.77563773199
0,0,974.591787173507,2121.32034355964
0,0,1164.28542032674,2500
0,0,929.176472014154,2915.47594742265
0,0,932.641494490509,3354.10196624968
0,0,527.751262627682,2915.47594742265
0,46,43.2537581969459,2500
0,3,127.560306187095,2121.32034355964
1,0,364.640008368692,1802.77563773199
0,45,112.985378412683,1581.13883008419
0,66,57.5478964858705,1500
0,2,240.561878710151,1581.13883008419
0,0,754.027459764433,6964.19413859206
0,0,504.18539638373,6800.73525436772
0,6,203.871925355613,6403.12423743285
0,65,83.4450905927148,6020.79728939615
0,205,73.2982970441845,5656.85424949238
0,152,52.9851370606191,5315.07290636732
0,16,159.889151823199,4609.77222864644
2,118,43.2193797573441,4301.16263352131
0,209,70.6248327522653,3905.12483795333
1,98,91.4083065004388,3500
6,275,32.0789421038218,3000
4,140,94.6582483996461,2500
4,105,22.2972544536583,2000
2,166,26.7528513130817,1500
2,65,64.9159904684905,1000
4,142,45.7472115512837,500
3,263,39.3522223707208,500
5,208,90.1309466663697,0
6,301,38.8398755943096,500
0,231,48.1529847952661,707.106781186548
0,0,852.598725267049,1802.77563773199
0,0,1155.30865925815,2236.06797749979
0,0,1156.98262293532,2692.58240356725
0,0,964.310355175229,3162.27766016838
0,0,531.15722246964,2692.58240356725
0,5,116.464996721495,2236.06797749979
0,0,497.7855723715,1802.77563773199
0,0,537.313572168022,1414.2135623731
0,31,104.100307441115,1118.03398874989
1,231,53.8563183383635,1000
1,8,174.439641987481,1118.03398874989
0,79,28.164607526497,5700.87712549569
0,66,68.2254828202802,5315.07290636732
2,140,89.1467055869942,4949.74746830583
3,62,59.594320246542,3905.12483795333
5,121,52.4876792594029,3605.55127546399
3,146,43.8325715501371,3201.56211871642
2,81,74.4893066266831,2828.42712474619
1,148,14.5987619911176,2500
6,170,49.8974953212224,2061.55281280883
5,302,24.1361274910276,1581.13883008419
6,234,11.6955363821023,1118.03398874989
4,149,30.9268318696581,707.106781186548
11,210,66.8961485931866,0
12,239,14.6239595441961,0
7,285,45.9552328577808,0
3,199,61.402223715401,500
0,26,111.173794312296,707.106781186548
0,0,630.213775734088,1581.13883008419
0,0,950.185146981423,2061.55281280883
0,1,1005.95874454654,2549.50975679639
0,0,814.554624128671,3041.38126514911
0,0,510.443261024316,2549.50975679639
0,33,44.3039021241606,2061.55281280883
0,0,493.498009544923,1581.13883008419
0,1,450.602638005811,1118.03398874989
0,151,20.1750585342311,707.106781186548
2,230,23.2900390437454,500
0,52,61.2641316595841,707.106781186548
0,196,11.7491911471058,5408.32691319598
0,148,8.0433437999105,5000
0,143,26.4096394199253,4609.77222864644
1,78,36.9691830410212,3535.53390593274
5,103,20.1537448705255,3201.56211871642
0,68,40.9734154390433,2915.47594742265
0,105,27.2709203387749,2500
5,117,22.4666152651085,2121.32034355964
4,165,17.770855240647,1802.77563773199
1,164,45.3097037914752,1500
1,72,65.2576813041398,1000
8,305,40.4937791331599,500
9,358,23.0988120292695,0
10,161,98.5579205909621,0
7,393,9.58228585995566,0
0,128,121.458092952681,0
0,0,375.981990534095,500
0,0,529.65918333858,1500
0,0,815.483030063624,2000
0,0,832.071243714566,2500
0,0,645.229473672693,2549.50975679639
0,22,275.932388994711,2500
0,41,48.9390715821233,2000
0,0,501.495705989013,1500
0,1,299.366199983844,1000
3,257,41.7290960241721,500
0,278,41.9710919616333,0
0,164,48.1167579813473,500
0,163,53.6394909504906,5099.01951359279
1,88,16.8674183179561,4716.9905660283
0,82,7.49478402583785,4301.16263352131
0,50,21.9139580985699,3905.12483795333
0,28,56.0194363192213,3535.53390593274
0,147,53.1600045186997,3201.56211871642
0,123,60.1576961038447,2828.42712474619
1,92,55.728635376454,2500
8,167,55.1993572017632,2236.06797749979
0,184,34.7880423272151,1802.77563773199
5,107,35.1580933323159,1414.2135623731
1,206,38.4860218391792,1118.03398874989
5,240,28.3505183568088,1000
